,web-scraper-order,web-scraper-start-url,pagination,pagination-href,price,kunstenaar,beschrijving,image-src,url,detail_page,detail_page-href,height_painting_cm,width_painting_cm,condition,technique,signed,framed,height_frame_cm,width_frame_cm,period,style,subject,name,file_path
161,1607959722-4643,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",252,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=3012&q=filter&limit=12&status=sold&sort=enddate,d",900.0,Joseph Raphael (1869-1950),"De Amerikaanse schilder Joseph Raphaël kreeg zijn opleiding aan de School of Design van San Francisco. In 1903 vertrok hij naar Parijs, waar hij les nam aan de Ecole des Beaux Arts. De zomermaanden bracht hij vanaf 1911 door in Holland, in het schildersdorp Laren. Daar kreeg het pointillisme van Breman en Hart Nibbrig vat op zijn stijl. Nadat hij zich in 1912 in Brussel vestigde werden zijn schilderijen steeds kleuriger en vrijer. Figuren, landschappen en stillevens hadden zijn voorkeur, naast scenes van het drukke Brusselse stadsleven. Een daaropvolgende verhuizing naar het platteland bij Uccel inspireerde hem tot het schilderen van de natuur rond het plateau waar hij woonde. Voordat hij in 1940 terugkeerde naar de Verenigde Staten woonde hij van 1929 tot 1939 in Oegstgeest. Daar waren de zee bij Noordwijk en de Kager Plassen een onuitputtelijke bron van inspiratie voor de schilder.",https://images.kunstveiling.nl/tmp-5c7d8c70764300acefea36cead51180c-joseph-raphael_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/sterk-impressionistisch-geschilderd-omstreeks-1920-geschilderd-landschap-ges/261587"",",Bekijk item,https://www.kunstveiling.nl/items/joseph-raphael-sterk-impressionistisch-geschilderd-omstreeks-1920-geschilderd-landschap-ges/261587,38.0,46.0,Goed,Olieverf,Handgesigneerd,Ingelijst,50.0,60.0,1900 t/m 1944,Impressionistisch,Landschap,Joseph Raphael - sterk impressionistisch geschilderd omstreeks 1920 geschilderd landschap - ges.,..\data\0161.png
162,1607955433-2785,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",35,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=408&q=filter&limit=12&status=sold&sort=enddate,d",175.0,Willem Horsman (1892-1966),"*Fraai impressionistisch werk van een havengezicht door de kunstenaar W. Horsman.
*Verzending is aangetekend, verzekerd en goed verpakt.",https://images.kunstveiling.nl/tmp-d16c149c1bf493894b81c6c148c96288-willem-horsman_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/havengezicht/310291"",",Bekijk item,https://www.kunstveiling.nl/items/willem-horsman-havengezicht/310291,24.0,44.0,Zeer Goed,Olieverf,Handgesigneerd,Ingelijst,44.0,64.0,1900 t/m 1944,Impressionistisch,Havengezicht,Willem Horsman - Havengezicht,..\data\0162.png
163,1607956459-3230,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",94,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=1116&q=filter&limit=12&status=sold&sort=enddate,d",400.0,Floor de Bruyn Kops (1944),Mooi schilderij in heldere tinten van deze bekende schilder. Doet zeer hoge prijzen in galeries. Sla je slag op deze veiling. Gesigneerd met monogram,https://images.kunstveiling.nl/tmp-753362b5cfc0a1c3da59cdcfcaa1d1ee-floor-de-bruyn-kops_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/zittend-naakt/295753"",",Bekijk item,https://www.kunstveiling.nl/items/floor-de-bruyn-kops-zittend-naakt/295753,50.0,50.0,Nieuwstaat,Olieverf,Handgesigneerd,Ingelijst,53.0,53.0,2000 t/m Heden,Impressionistisch,Naakt,Floor de Bruyn Kops - Zittend naakt,..\data\0163.png
164,1607954898-2552,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",11,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=120&q=filter&limit=12&status=sold&sort=enddate,d",190.0,Ru Vunderink (1927),Snel en met rake toets opgezet schilderij in acryl op linnen van een blauw glazen vaas met witte rozen in de kenmerkende aan aquarel ontleende stijl van de kunstenaar.,https://images.kunstveiling.nl/tmp-43f3e39768d7b4e3897406113a08769b-ru-vunderink_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/bloemstilleven-nocturne/327387"",",Bekijk item,https://www.kunstveiling.nl/items/ru-vunderink-bloemstilleven-nocturne/327387,90.0,70.0,Zeer Goed,Acryl,Handgesigneerd,Ingelijst,94.0,74.0,1945 t/m 1999,Impressionistisch,Bloemen en Planten,Ru Vunderink - Bloemstilleven (Nocturne),..\data\0164.png
165,1607960654-5050,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",302,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=3612&q=filter&limit=12&status=sold&sort=enddate,d",145.0,Anton Mauve (jr.) (1876-1962),"A.R. Mauve was een zoon van de beroemde schilder Anton Mauve,een leraar van Van Gogh.Mauve junior schilderde landschappen,zeegezichten en portretten.Hij was lid van de Gooise schildersvereniging.Ook dit schilderij is waarschijnlijk in het Gooi geschilderd.",https://images.kunstveiling.nl/tmp-8abb491bbd60bae5d1df1121da08b446-anton-mauve-jr_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/bos-en-heide-bij-avond/248412"",",Bekijk item,https://www.kunstveiling.nl/items/anton-mauve-jr-bos-en-heide-bij-avond/248412,56.0,44.0,Zeer Goed,Olieverf,Handgesigneerd,Ingelijst,70.0,55.0,1900 t/m 1944,Realistisch,Landschap,Anton Mauve (jr.) - Bos en Heide bij avond,..\data\0165.png
166,1607959050-4352,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",216,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=2580&q=filter&limit=12&status=sold&sort=enddate,d",1750.0,Gerhard Arij Ludvig Munthe (1875-1927),"Mooi werk van Bomschuit in volle zee
goede lijst, op de achterzijde een studiewerk",https://images.kunstveiling.nl/tmp-5ac7671849d8a47b66091c61d32227c7-gerhard-arij-ludvig-munthe_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/bomschuit/271646"",",Bekijk item,https://www.kunstveiling.nl/items/gerhard-arij-ludvig-munthe-bomschuit/271646,34.0,24.0,Zeer Goed,Olieverf,Handgesigneerd,Ingelijst,59.0,49.0,1800 t/m 1899 (19e Eeuw),Klassiek,Zeegezicht,Gerhard Arij Ludvig Munthe - Bomschuit,..\data\0166.png
167,1607956171-3105,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",80,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=948&q=filter&limit=12&status=sold&sort=enddate,d",150.0,Anton Mauve (jr.) (1876-1962),"Met atelierstempel in de hoek rechtsonder (iets vervaagd). 


LET OP: Dit item wordt geveild door Kunstveiling in opdracht van de inbrenger. Voor items aangeboden door de Veilingmeester of Veilingmeester_Collecties zelf, gelden de volgende speciale voorwaarden.

Passe-partout/lijsten: Beschadigingen aan lijsten worden niet beschreven. Indien een werk achter glas is ingelijst en het glas kapot is, zal dit wel vermeld worden. Passe-partouts worden op geen enkele manier gegarandeerd en ook niet altijd meegezonden. Alleen als een werk niet uit het passe-partout te halen is, zal dit vermeld worden.Afhandeling: Wanneer u de hoogste bieder bent, ontvangt u na afloop van de veiling per e-mail van ons een factuur voor de aangekochte werken. Hierin vindt u de details m.b.t. de betaling. Werken kunnen op dinsdag t/m vrijdag tussen 11.00 - 17.15 uur worden afgehaald op het kantoor van Kunstveiling in Amsterdam-Zuidoost. Als u uw aankoop afhaalt, betaalt u geen extra kosten.Bezichtigen: Het is ook mogelijk om dit werk vooraf te bezichtigen. Ondanks de aankoopgarantie van Kunstveiling waar uw werk onder valt, kunt u het werk bekijken voordat u een bod uitbrengt. Bezichtigen kan op de vestiging van Kunstveiling in Amsterdam-Zuidoost op dinsdag t/m vrijdag tussen 11.00 - 17.15 uur.Vragen: Wij streven ernaar zo veel mogelijk informatie te geven in de veilingomschrijving. Heeft u echter nog vragen, gebruik dan de button ‘Vraag de verkoper’ om contact met ons op te nemen. Andere items die wij aanbieden, kunt u bekijken door op de naam van de verkoper te klikken.Volgrecht: Voor werken met een totale prijs (inclusief veilingkosten maar exclusief BTW) boven de 3000,- euro, is het wettelijk Volgrecht van minimaal 4% van toepassing. Het volgrecht dient betaald te worden door de koper. Kunstveiling zal zorg dragen voor de financiële afwikkeling van de Volgrecht-vergoeding volgens de vastgelegde bepalingen.",https://images.kunstveiling.nl/tmp-8d8e30e84c706a5abe5ac0b35c26fce6-anton-mauve-jr_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/olieverf-op-doek-duinlandschap-texelingelijst/309462"",",Bekijk item,https://www.kunstveiling.nl/items/anton-mauve-jr-olieverf-op-doek-duinlandschap-texel-ingelijst/309462,39.0,49.0,Goed,Olieverf,Ongesigneerd/Drukgesigneerd,Ingelijst,52.0,63.0,1900 t/m 1944,Klassiek,Landschap,"Anton Mauve (jr.) - Olieverf op doek, Duinlandschap Texel - Ingelijst",..\data\0167.png
168,1607956908-3424,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",114,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=1356&q=filter&limit=12&status=sold&sort=enddate,d",112.0,Niet of onleesbaar gesigneerd,"Knap geschilderd stilleven van Dick van der Wedden.

Het werk is een zeer goede staat, net als de houten lijst !

Wordt zorgvuldig verpakt.",https://images.kunstveiling.nl/tmp-dd079fb5c908e8886ce4f7391ab2ec8c-onbekende-kunstenaar_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/zt-stilleven/301711"",",Bekijk item,https://www.kunstveiling.nl/items/niet-of-onleesbaar-gesigneerd-zt-stilleven/301711,38.0,48.0,Zeer Goed,Olieverf,Handgesigneerd,Ingelijst,51.0,61.0,1900 t/m 1944,Realistisch,Stilleven,"Niet of onleesbaar gesigneerd - Z.T., Stilleven",..\data\0168.png
169,1607953028-1738,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",249,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=2976&q=filter&limit=12&status=sold&sort=enddate,d",110.0,Henk Meijer (1884-1970),"Hendrik (Henk) Meijer (ook wel genoemd Henk Meyer) (Groningen, 22 december 1884 - Wassenaar, 22 februari 1970) was een Nederlands beeldend kunstenaar, illustrator en tekendocent.Hij kreeg zijn opleiding aan de Academie Minerva in Groningen en aan de Rijksakademie van beeldende kunsten in Amsterdam, waar hij onder meer les kreeg van Antoon Derkinderen en waar hij later zelf ook les heeft gegeven. Hij was lid van de uit de Rijksacademie voortgekomen Kunstenaarsvereniging Sint Lucas en nam deel aan de tentoonstelling van deze vereniging in het Stedelijk Museum in Amsterdam in 1914.Een bekend werk van Meijer is een geschilderd portret van Bon Ingen-Housz dat hij maakte in 1923 en dat nu in het Breda's Museum hangt.Van 1921 tot 1950 was Henk Meijer docent tekenen aan de Academie van beeldende kunsten in Den Haag. Tot zijn leerlingen (aan de academie en/of privé) behoorden: Theo Bitter, Kees Bol, Lodewijk Bruckman, Bob Bruijn, Rein Draijer, Stien Eelsingh, Willem Minderman, Toos Neger, Henk Peeters, Toon Wegner, Co Westerik en Cornelis Zitman.",https://images.kunstveiling.nl/tmp-6d0a9394308db7f4ea7148cef4713380-henk-meijer_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/weergaloos-mooi-geschilderd-realistisch-olieverf-portret-van-dame/262138"",",Bekijk item,https://www.kunstveiling.nl/items/henk-meijer-weergaloos-mooi-geschilderd-realistisch-olieverf-portret-van-dame/262138,22.0,18.0,Goed,Olieverf,Handgesigneerd,Ingelijst,30.0,26.0,1900 t/m 1944,Realistisch,Portret,Henk Meijer - Weergaloos mooi geschilderd realistisch olieverf portret van Dame,..\data\0169.png
170,1607958681-4193,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",206,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=2460&q=filter&limit=12&status=sold&sort=enddate,d",120.0,Shunyam (1953),"LET OP: Dit item wordt geveild door Kunstveiling in opdracht van de inbrenger. Voor items aangeboden door de Veilingmeester of Veilingmeester_Collecties zelf, gelden de volgende speciale voorwaarden.

Toeslag: Op deze werken zit een toeslag voor de koper van 10,- euro per gewonnen item. Deze toeslag geldt alleen voor werken aangeboden door de Veilingmeester. Zie hiervoor ook onze veilingregels.
Passe-partout/lijsten: Beschadigingen aan lijsten worden niet beschreven. Indien een werk achter glas is ingelijst en het glas kapot is, zal dit wel vermeld worden. Passe-partouts worden op geen enkele manier gegarandeerd en ook niet altijd meegezonden. Alleen als een werk niet uit het passe-partout te halen is, zal dit vermeld worden.
Afhandeling: Wanneer u de hoogste bieder bent, ontvangt u na afloop van de veiling per e-mail van ons een factuur voor de aangekochte werken. Hierin vindt u de details m.b.t. de betaling. Werken kunnen op werkdagen tussen 09.15 - 17.15 uur worden afgehaald op het kantoor van Kunstveiling in Amsterdam-Zuidoost. Als u uw aankoop afhaalt, betaalt u geen extra kosten.
Bezichtigen: Het is ook mogelijk om dit werk vooraf te bezichtigen. Ondanks de aankoopgarantie van Kunstveiling waar uw werk onder valt, kunt u het werk bekijken voordat u een bod uitbrengt. Bezichtigen kan op de vestiging van Kunstveiling in Amsterdam-Zuidoost op werkdagen tussen 09.15 - 17.15 uur.
Vragen: Wij streven ernaar zo veel mogelijk informatie te geven in de veilingomschrijving. Heeft u echter nog vragen, gebruik dan de button ‘Vraag de verkoper’ om contact met ons op te nemen. Andere items die wij aanbieden, kunt u bekijken door op de naam van de verkoper te klikken.


Administratieve code:


QQSTE",https://images.kunstveiling.nl/tmp-c22d34778fcdb66b336975aeb4bca1cb-shunyam_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/acryl-op-doek-fun-in-the-sun-ingelijst/275022"",",Bekijk item,https://www.kunstveiling.nl/items/shunyam-acryl-op-doek-fun-in-the-sun-ingelijst/275022,100.0,100.0,Zeer Goed,Acryl,Handgesigneerd,Ingelijst,105.0,105.0,2000 t/m Heden,Street Art,Dieren,"Shunyam - Acryl op doek, Fun in the sun - Ingelijst",..\data\0170.png
171,1607953240-1830,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",221,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=2640&q=filter&limit=12&status=sold&sort=enddate,d",325.0,Dick Tasma (1951-2013),"Mooi, groot werk van
Dick Tasma.  Olieverf op doek, gesigneerd
rechtsonder.  In complementerende, zeer
solide lijst.  Alles in zeer goede
conditie.
Afmetingen: 126cm x
126cm (incl. lijst), 120cm x 120cm (doek)
Bij aankoop moet het
werk liefst opgehaald worden in Diemen (vlakbij het kantoor van Kunstveiling in
Amsterdam Z-O). 
De termijn voor ophalen is zeer ruim, m.a.w. de koper kan het
werk eventueel weken of zelfs maanden later ophalen en het zo mogelijk
combineren met een bezoek aan Amsterdam voor andere zaken.
Bezorgen
met Swift Koeriers is eventueel mogelijk in overleg (alleen in Nederland en
België).",https://images.kunstveiling.nl/tmp-864d425b99e58768ac5bb76a0a123194-dick-tasma_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/recital-olieverf-op-doek-mooi-ingelijst-groot/259549"",",Bekijk item,https://www.kunstveiling.nl/items/dick-tasma-recital-olieverf-op-doek-mooi-ingelijst-groot/259549,120.0,120.0,Zeer Goed,Olieverf,Handgesigneerd,Ingelijst,126.0,126.0,1945 t/m 1999,Modern,Figuren,"Dick Tasma - Recital, olieverf op doek (mooi ingelijst, groot!)",..\data\0171.png
172,1607954939-2570,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",17,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=192&q=filter&limit=12&status=sold&sort=enddate,d",110.0,Pieter Engels (1938),"Aantrekkelijk, eenvoudig - groot werk van Engels..",https://images.kunstveiling.nl/tmp-13a164a726982364e3336abbe8ef0415-pieter-engels_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/onvolmaakt/324752"",",Bekijk item,https://www.kunstveiling.nl/items/pieter-engels-onvolmaakt/324752,100.0,90.0,Goed,Olieverf,Handgesigneerd,Ingelijst,102.0,92.0,1945 t/m 1999,Expressionistisch,Stilleven,Pieter Engels - Onvolmaakt,..\data\0172.png
173,1607969227-8786,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",7,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=72&q=filter&limit=12&status=sold&sort=enddate,d",150.0,Henri van Daalhoff (1867-1953),"LET OP: Dit item wordt geveild door Kunstveiling in opdracht van de inbrenger. Voor items aangeboden door de Veilingmeester of Veilingmeester_Collecties zelf, gelden de volgende speciale voorwaarden.
Passe-partout/lijsten: Beschadigingen aan lijsten worden niet beschreven. Indien een werk achter glas is ingelijst en het glas kapot is, zal dit wel vermeld worden. Passe-partouts worden op geen enkele manier gegarandeerd en ook niet altijd meegezonden. Afhandeling: Wanneer u de hoogste bieder bent, ontvangt u na afloop van de veiling per e-mail van ons een factuur voor de aangekochte werken. Hierin vindt u de details m.b.t. de betaling en de afhandeling. Werken kunnen op dinsdag t/m vrijdag tussen 11.00 - 17.15 uur op afspraak worden afgehaald op het kantoor van Kunstveiling in Amsterdam-Zuidoost. Bij het ophalen van uw aankoop betaalt u uiteraard geen bezorg- of verzendkosten.Bezichtigen: Heeft u interesse in het werk? Het is ook mogelijk om dit werk vooraf te bezichtigen. Ondanks de aankoopgarantie van Kunstveiling waar uw werk onder valt, kunt u het werk bekijken voordat u een bod uitbrengt. Bezichtigen kan op afspraak op de vestiging van Kunstveiling in Amsterdam-Zuidoost op dinsdag t/m vrijdag tussen 11.00 - 17.15 uur. Neemt u hiervoor contact met ons op.Vragen: Wij streven ernaar zo veel mogelijk informatie te geven in de veilingomschrijving. Heeft u echter nog vragen, gebruik dan de button ‘Vraag de verkoper’ om contact met ons op te nemen. Andere items die wij aanbieden, kunt u bekijken door op de naam van de verkoper te klikken.Volgrecht: Voor werken met een totale prijs (inclusief veilingkosten maar exclusief BTW) boven de 3000,- euro, is het wettelijk Volgrecht van minimaal 4% van toepassing. Het volgrecht dient betaald te worden door de koper. Kunstveiling zal zorg dragen voor de financiële afwikkeling van de Volgrecht-vergoeding volgens de vastgelegde bepalingen.",https://images.kunstveiling.nl/tmp-3df11be32d16406cfa19f5946aee7000-henri-van-daalhoff_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/olieverf-op-paneel-drie-koningen-ingelijst/328028"",",Bekijk item,https://www.kunstveiling.nl/items/henri-van-daalhoff-olieverf-op-paneel-drie-koningen-ingelijst/328028,15.0,19.0,Zeer Goed,Olieverf,Ongesigneerd,Ingelijst,31.0,34.0,1800 t/m 1899 (19e Eeuw),Klassiek,Religieus,"Henri van Daalhoff - Olieverf op paneel, Drie koningen - Ingelijst",..\data\0173.png
174,1607960051-4787,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",276,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=3300&q=filter&limit=12&status=sold&sort=enddate,d",550.0,Hermanus Koekkoek (jr.) (1836-1909),"Mooie voorstelling van een  dorpje aan de kust!

Hermanus Koekkoek junior,Amsterdam-(1836 - 1909)Londen.De kunstschilder Hermanus Koekkoek jr. was leerling van zijn vader Hermanus Koekkoek senior.Hij werkte o.a. in Amsterdam, Nieuwer-Amstel en Londen.Bekend schilder van zee-, rivier- en strandgezichten. Zijn vroege werk is vooral romantisch, later zijn er steeds meer invloeden van de Haagse School in te herkennen.Hermanus jr. werkte zowel in Nederland als in Engeland.In Engeland gebruikte hij ook de pseudoniemen Jan van Couver en L. van Staaten, om zijn werk te signeren.",https://images.kunstveiling.nl/tmp-51b0251c0ba081aaa25f4fdbdcb2a492-hermanus-koekkoek-jr_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/huisjes-aan-het-water/254734"",",Bekijk item,https://www.kunstveiling.nl/items/hermanus-koekkoek-jr-huisjes-aan-het-water/254734,26.0,34.0,Zeer Goed,Olieverf,Handgesigneerd,Ingelijst,37.0,47.0,1800 t/m 1899 (19e Eeuw),Klassiek,Landschap,Hermanus Koekkoek (jr.) - Huisjes aan het water,..\data\0174.png
175,1607959173-4406,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",224,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=2676&q=filter&limit=12&status=sold&sort=enddate,d",221.0,Anton Heyboer (1924-2005),"Anton Heyboer, gemengde techniek op papier, gesigneerd midden onder, baadster aan het strand, beeldmaat 36x39,5, lijstmaat 64x68.

Dit werk is op te halen op onze locatie in Nieuwersluis. 
Voor meer informatie over de conditie van dit werk kunt u contact met ons opnemen.",https://images.kunstveiling.nl/tmp-67a799595e5b37403966058b80b8d053-anton-heyboer_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/c2048-baadster-aan-het-strand/271070"",",Bekijk item,https://www.kunstveiling.nl/items/anton-heyboer-c2048-baadster-aan-het-strand/271070,36.0,39.0,Redelijk,Gemengde Techniek,Handgesigneerd,Ingelijst,64.0,68.0,1945 t/m 1999,Expressionistisch,Figuren,Anton Heyboer - C2048 - Baadster aan het strand,..\data\0175.png
176,1607954207-2251,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",96,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=1140&q=filter&limit=12&status=sold&sort=enddate,d",250.0,Gerda Sutton (1923-2005),"Gerda Sutton (1923-2005) werd geboren in Bedford, Engeland, maar vertrok al in de vijftig naar Parijs waar zij studeerde aan de academie van André L'Hote. Ze altijd zou in Parijs blijven wonen. Zij schilderde in een neo-cubistische en geometrische stijl landschappen, portretten en stillevens.",https://images.kunstveiling.nl/tmp-d1e6d2a6879f5bf303b6bb917effa0f0-gerda-sutton_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/abstract-geometrisch-portret/298613"",",Bekijk item,https://www.kunstveiling.nl/items/gerda-sutton-abstract-geometrisch-portret/298613,90.0,72.0,Zeer Goed,Olieverf,Ongesigneerd/Drukgesigneerd,Ingelijst,100.0,82.0,1945 t/m 1999,Abstract,Portret,Gerda Sutton - abstract geometrisch portret,..\data\0176.png
177,1607953066-1755,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",243,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=2904&q=filter&limit=12&status=sold&sort=enddate,d",120.0,Chris de Bruijn (1901-1974),"C. de Bruijn, olie op doek, boer en boerin bij boerderij, r.o. gesigneerd, beeldmaat 40x50, lijstmaat 55x65.


Dit werk is op te halen op onze locatie in Nieuwersluis.
Voor meer informatie over de conditie van dit werk kunt u contact met ons opnemen.",https://images.kunstveiling.nl/tmp-433f9b1b2011ff444d528e278091d976-chris-de-bruijn_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/b8161-boer-en-boerin-bij-boerderij/264255"",",Bekijk item,https://www.kunstveiling.nl/items/chris-de-bruijn-b8161-boer-en-boerin-bij-boerderij/264255,40.0,50.0,Redelijk,Olieverf,Handgesigneerd,Ingelijst,55.0,65.0,1900 t/m 1944,Impressionistisch,Landschap,Chris de Bruijn - B8161 - Boer en boerin bij boerderij,..\data\0177.png
178,1607961079-5235,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",323,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=3864&q=filter&limit=12&status=sold&sort=enddate,d",175.0,Wim Helder (1892-1966),"Wim Helder werd geboren in Den Haag in 1892 en overleed in Hattem in 1966. Zoon en leerling van de kunstschilder Joh. Helder. Woonde en werkte in Amsterdam, Den Haag, Parijs, Utrecht, Geleen, Middelburg, Apeldoorn. Leerling van de Kunstnijverheidsschool te Utrecht en van het genootschap 'Kunstliefde' aldaar. Studeerde 2 jaar te Parijs 1922-1924. Schilderde en tekende uitstekende portretten en figuren (boeren en volkstypen); in expressionistische trant geschilderde landschappen, bloemen, enz. Gaf o.a. les aan H. Bunt. (Bron: Scheen) Wim Helder heeft het vak van zijn vader, de kunstschilder Helder, geleerd. Vader Helder was een schilder van interieurs en genretaferelen en het schijnt dat hij op zijn beurt in de leer is geweest bij Jozef Isra_ls. Wim helder volgde ook nog lessen aan de Kunstnijverheidsschool in Utrecht en in de jaren 1922-1924 studeerde hij in Parijs.Signatuur: linksonder. 
Datering: jaren '30/.Het schilderij is onlangs professioneel schoongemaakt.",https://images.kunstveiling.nl/tmp-c86665791fb3cda494f3d2597fed17a7-wim-helder_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/olieverf-op-doek-op-board-parijs-jaren-30/240240"",",Bekijk item,https://www.kunstveiling.nl/items/wim-helder-olieverf-op-doek-op-board-parijs-jaren-30/240240,32.0,51.0,Goed,Olieverf,Handgesigneerd,Ingelijst,37.0,56.0,1900 t/m 1944,Impressionistisch,Stadsgezicht,"Wim Helder - olieverf op doek op board, Parijs jaren '30",..\data\0178.png
179,1607969248-8795,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",6,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=60&q=filter&limit=12&status=sold&sort=enddate,d",200.0,Hein Kever (1854-1922),"B9645, Hein Kever,  Stilleven met rode bloemen in zwarte vaas, olie op paneel, linksonder gesigneerd, marouflé (doek op paneel), paneelmaat 39 x 31 cm, lijstmaat 56 x 47.5 cm.


Dit werk is op te halen op onze locatie in Nieuwersluis. 
Voor verzendingen zijn we afhankelijk van koeriers.
Voor meer informatie over de conditie van dit werk kunt u contact met ons opnemen.",https://images.kunstveiling.nl/tmp-99907aba210a4ce3bffa207607118138-hein-kever_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/b9645-stilleven-met-rode-bloemen-in-zwarte-vaas/311006"",",Bekijk item,https://www.kunstveiling.nl/items/hein-kever-b9645-stilleven-met-rode-bloemen-in-zwarte-vaas/311006,39.0,31.0,Redelijk,Olieverf,Handgesigneerd,Ingelijst,56.0,47.0,1900 t/m 1944,Impressionistisch,Stilleven,"Hein Kever - B9645, Stilleven met rode bloemen in zwarte vaas",..\data\0179.png
